refnumber,xptfilename,xptdataset,datasetprefix,datasetmodule,genericdescription,xpttablealias,rxpttable,cdiscdescription
16,"FDA-CBER-2021-5683-0165893 to -0168682_125742_S1_M5_c4591001-S-D-is",is,s_d,s1_m5,"Immunogenicity Specimen Assessments",fda_s1_m5_s_d_is,FDA_CBER_2021_5683_0165893_to__0168682_125742_S1_M5_c4591001_S__,"This dataset (IS) holds details of assessments of antigen-induced humoral or cell-mediated immune response in the clinical trial subject."
17,"FDA-CBER-2021-5683-0168683 to -0169081_125742_S1_M5_c4591001-S-D-suppcm",suppcm,s_d,s1_m5,"Concomitant Prior Medications Supplemental Qualifiers",fda_s1_m5_s_d_suppcm,FDA_CBER_2021_5683_0168683_to__0169081_125742_S1_M5_c4591001_S__,"This is additional information (SuppCM) about drugs the subject was taking coincident with being part of the clinical trial that cannot be stored in the standard dataset. In this case, the extra information is about the medical dictionary versions employed in the trial."
18,"FDA-CBER-2021-5683-0169082 to -0171523_125742_S1_M5_c4591001-S-D-suppdm",suppdm,s_d,s1_m5,"Demographics Supplemental Qualifiers",fda_s1_m5_s_d_suppdm,FDA_CBER_2021_5683_0169082_to__0171523_125742_S1_M5_c4591001_S__,"This is additional information related to a trial subject's demographics records (SuppDM) that cannot be stored in that standard dataset. In this case, the extra information is about the subject's endpoint and reactogenicity."
19,"FDA-CBER-2021-5683-0171524 to -0174606_125742_S1_M5_c4591001-S-D-suppds",suppds,s_d,s1_m5,"Disposition Supplemental Qualifiers",fda_s1_m5_s_d_suppds,FDA_CBER_2021_5683_0171524_to__0174606_125742_S1_M5_c4591001_S__,"This is additional information (SuppDS) related to the overall clinical study conclusion for a subject once all contact with the person ends that cannot be stored in the standard dataset. In this case, the extra information relates to randomisation."
20,"FDA-CBER-2021-5683-0174607 to -0178318_125742_S1_M5_c4591001-S-D-suppdv",suppdv,s_d,s1_m5,"Protocol Deviations Supplemental Qualifiers",fda_s1_m5_s_d_suppdv,FDA_CBER_2021_5683_0174607_to__0178318_125742_S1_M5_c4591001_S__,"This dataset holds additional (SuppDV) findings about Protocol Deviations that cannot be held in the standard dataset. In this case, the extra information is about the source and site involved."
21,"FDA-CBER-2021-5683-0178319 to -0180190_125742_S1_M5_c4591001-S-D-suppho",suppho,s_d,s1_m5,"Healthcare Encounters Supplemental Qualifiers",fda_s1_m5_s_d_suppho,FDA_CBER_2021_5683_0178319_to__0180190_125742_S1_M5_c4591001_S__,"This is additional information related to Healthcare Encounters (SuppHO) that cannot be stored in the standard dataset. In this case, the extra information relates to respitory illness and hospitalisation."
22,"FDA-CBER-2021-5683-0180191 to -0182980_125742_S1_M5_c4591001-S-D-suppis",suppis,s_d,s1_m5,"Immunogenicity Specimen Assessments Supplemental Qualifiers",fda_s1_m5_s_d_suppis,FDA_CBER_2021_5683_0180191_to__0182980_125742_S1_M5_c4591001_S__,"This is additional information (SuppIS) related to assessments of antigen-induced humoral or cell-mediated immune response in the clinical trial subject that cannot be stored in the standard dataset. In this case, the extra information is about the data origin."
23,"FDA-CBER-2021-5683-0182981 to -0187905_125742_S1_M5_c4591001-S-D-suppmh",suppmh,s_d,s1_m5,"Medical History Supplemental Qualifiers",fda_s1_m5_s_d_suppmh,FDA_CBER_2021_5683_0182981_to__0187905_125742_S1_M5_c4591001_S__,"This is additional information (SuppMH) related to a trial subject's prior Medical History at the start of the trial that cannot be held in the standard dataset. In this case, the extra information is about the medical dictionary versions employed in the trial."
24,"FDA-CBER-2021-5683-0187906 to -0196048_125742_S1_M5_c4591001-S-D-suppvs",suppvs,s_d,s1_m5,"Vital Signs Supplemental Qualifiers",fda_s1_m5_s_d_suppvs,FDA_CBER_2021_5683_0187906_to__0196048_125742_S1_M5_c4591001_S__,"This dataset contains additional Vital Signs measurements (SuppVS) that cannot be held in the standard dataset. In this case, the extra information is about collection and summary types."
25,"FDA-CBER-2021-5683-0196049 to -0205317_125742_S1_M5_c4591001-S-Supp-D-ce",ce,s_supp_d,s1_m5,"Clinical Events Supplement",fda_s1_m5_s_supp_d_ce,FDA_CBER_2021_5683_0196049_to__0205317_125742_S1_M5_c4591001_S__,"This dataset is a supplement issue (supp_CE) of information about events that are of clinical interest but which are not classified as Adverse Events.  In this case, examples are chills, fever, fatigue, vomiting."
26,"FDA-CBER-2021-5683-0205318 to -0208520_125742_S1_M5_c4591001-S-Supp-D-ex",ex,s_supp_d,s1_m5,"Exposure Supplement",fda_s1_m5_s_supp_d_ex,FDA_CBER_2021_5683_0205318_to__0208520_125742_S1_M5_c4591001_S__,"This dataset is a supplement issue of the records detailing a trial subject's Exposure (supp_EX) to protocol-specified treatments including whether it was a placebo or trial drug.  In this case, it is identical to the initial issue."
27,"FDA-CBER-2021-5683-0208521 to -0216666_125742_S1_M5_c4591001-S-Supp-D-suppvs",suppvs,s_supp_d,s1_m5,"Vital Signs Supplemental Qualifiers Supplement",fda_s1_m5_s_supp_d_suppvs,FDA_CBER_2021_5683_0208521_to__0216666_125742_S1_M5_c4591001_S__,"This dataset is a supplement issue of additional Vital Signs measurements (supp_SuppVS) that cannot be held in the standard dataset. In this case, the extra information is about collection and summary types."
28,"FDA-CBER-2021-5683-0225100 to -0225597_125742_S1_M5_c4591001-A-D-adcm",adcm,a_d,s1_m5,"Concomitant Prior Medications Analysis Dataset",fda_s1_m5_a_d_adcm,FDA_CBER_2021_5683_0225100_to_0225597_125742_S1_M5_c4591001_A_D_,"This is a special dataset (ADCM) tailored to support the analysis of non-trial drugs subjects were taking coincident with the clinical trial. This type of special Analysis dataset can include values drawn from Tabulation data and from other Analysis datasets.  Data values may also be derived."
29,"FDA-CBER-2021-5683-0225598 to -0282129_125742_S1_M5_c4591001-A-Supp-D-adfacevd",adfacevd,a_supp_d,s1_m5,"Reactogenicity Findings Analysis Dataset Supplement",fda_s1_m5_a_supp_d_adfacevd,FDA_CBER_2021_5683_0225598_to_0282129_125742_S1_M5_c4591001_A_SU,"This is a supplent issue of data (supp_ADFACEVD) that are an expanded analysis dataset focused on Adverse Events that the NIH terms Reactogenicity Events. This expanded analysis dataset includes details of analysis visits conducted and outcomes."
30,"FDA-CBER-2021-5683-0282130 to -0282328_125742_S1_M5_c4591001-S-D-cm",cm,s_d,s1_m5,"Concomitant Prior Medications",fda_s1_m5_s_d_cm,FDA_CBER_2021_5683_0282130_to_0282328_125742_S1_M5_c4591001_S_D_,"This dataset (CM) records information about non-trial drugs the subject was taking coincident with being part of the clinical trial. This can include alcohol, tobacco or caffeine as well as contraceptives and over-the-counter pain killers alongside prescribed medications."
31,"FDA-CBER-2021-5683-0282329 to -0282365_125742_S1_M5_c4591001-S-D-ie",ie,s_d,s1_m5,"Inclusion Exclusion Criteria Not Met",fda_s1_m5_s_d_ie,FDA_CBER_2021_5683_0282329_to_0282365_125742_S1_M5_c4591001_S_D_,"This dataset (IE) contains details of those criteria that caused the subject to be in violation of the Inclusion/Exclusion Criteria."
32,"FDA-CBER-2021-5683-0282366 to-0285643_125742_S1_M5_c4591001-S-D-mb",mb,s_d,s1_m5,"Microbiology Specimen",fda_s1_m5_s_d_mb,FDA_CBER_2021_5683_0282366_to_0285643_125742_S1_M5_c4591001_S_D_,"This is a dataset (MB) that represents non-host organisms identified including bacteria, viruses, parasites, protozoa and fungi. In this case, the data detail PCR tests used in connection with SARS-CoV-2 such as Cepheid RT-PCR assay for SARS-CoV-2 collected via nasal swab or swabbed material."
33,"FDA-CBER-2021-5683-0285644 to -0285651_125742_S1_M5_c4591001-S-D-mo",mo,s_d,s1_m5,Morphology,fda_s1_m5_s_d_mo,FDA_CBER_2021_5683_0285644_to_0285651_125742_S1_M5_c4591001_S_D_,"This dataset (MO) contains information about Morphology - the outcome of CT Scan and X Ray procedures including whether it was Normal or Abnormal and whether it was of the chest or head."
34,"FDA-CBER-2021-5683-0285652 to -0286071_125742_S1_M5_c4591001-S-D-pe",pe,s_d,s1_m5,"Physical Examination",fda_s1_m5_s_d_pe,FDA_CBER_2021_5683_0285652_to_0286071_125742_S1_M5_c4591001_S_D_,"This dataset (PE) holds findings from conducting a Physical Examination of a trial subject. A physical examination dataset captures information from inspection (visual examination), palpation (feeling for lumps and swellings), percussion (tapping on an area of the body and interpreting the feel and sound), auscultation (listening using a stethoscope)."
35,"FDA-CBER-2021-5683-0286072 to -0286266_125742_S1_M5_c4591001-S-Supp-D-relrec",relrec,s_supp_d,s1_m5,"Related Records Supplement",fda_s1_m5_s_supp_d_relrec,FDA_CBER_2021_5683_0286072_to_0286266_125742_S1_M5_c4591001_S_SU,"This is a supplement issue of data (supp_RELREC) that represents relations among datasets or records. There are two types of relationships:  those between independent records for a trial subject, such as a concomitant medication taken to treat an adverse event; and those between two or datasets that have records related to each other."
36,"FDA-CBER-2021-5683-0286267 to -0296903_125742_S1_M5_c4591001-S-Supp-D-suppce",suppce,s_supp_d,s1_m5,"Clinical Events Supplemental Qualifiers Supplement",fda_s1_m5_s_supp_d_suppce,FDA_CBER_2021_5683_0286267_to_0296903_125742_S1_M5_c4591001_S_SU,"This dataset is a supplement issue of additional information about Clinical Events (supp_SuppCE) that cannot be held in the standard dataset. In this case, the extra information is about the medical dictionaries employed."
37,"FDA-CBER-2021-5683-0296904 to -0307543_125742_S1_M5_c4591001-S-D-suppce",suppce,s_d,s1_m5,"Clinical Events Supplemental Qualifiers",fda_s1_m5_s_d_suppce,FDA_CBER_2021_5683_0296904_to_0307543_125742_S1_M5_c4591001_S_D_,"This is additional information related to Clinical Events (SuppCE) that cannot be stored in that standard dataset. In this case, the extra information is about the medical dictionary versions employed in the trial."
38,"FDA-CBER-2021-5683-0308157 to -0396186_125742_S1_M5_c4591001-S-D-suppface",suppface,s_d,s1_m5,"Findings About Events or Interventions Supplemental Qualifiers",fda_s1_m5_s_d_suppface,FDA_CBER_2021_5683_0308157_to_0396186_125742_S1_M5_c4591001_S_D_,"This is additional information (SuppFACE) related to the Findings about Events or Interventions that cannot be stored in the standard dataset. In this case, the extra information is about the data collection type and languages used in that process."
39,FDA-CBER-2021-5683-0396187_125742_S1_M5_c4591001-S-D-pr,pr,s_d,s1_m5,Procedures,fda_s1_m5_s_d_pr,FDA_CBER_2021_5683_0396187_125742_S1_M5_c4591001_S_D_pr,"This is a dataset (PR) that contains interventional activity intended to have diagnostic, preventive, therapeutic, or palliative effects. In this case, the information relates to Oxygen therapy and Mechanical ventilation."
40,"FDA-CBER-2021-5683-0396188 to -0396192_125742_S1_M5_c4591001-S-D-suppmo",suppmo,s_d,s1_m5,"Morphology Supplemental Qualifiers",fda_s1_m5_s_d_suppmo,FDA_CBER_2021_5683_0396188_to_0396192_125742_S1_M5_c4591001_S_D_,"This is additional information (SuppMO) related to the data about Morphology that cannot be stored in the standard dataset. In this case, the extra information is about imaging methods and assessments."
41,"FDA-CBER-2021-5683-0396193 to -0396194_125742_S1_M5_c4591001-S-D-supppe",supppe,s_d,s1_m5,"Physical Examination Supplemental Qualifiers",fda_s1_m5_s_d_supppe,FDA_CBER_2021_5683_0396193_to_0396194_125742_S1_M5_c4591001_S_D_,"This dataset holds additional (SuppPE) findings about observation during a Physical Examination that cannot be held in the standard dataset. In this case, the extra information is about whether a finding was considered clinically significant."
42,FDA-CBER-2021-5683-0396195_125742_S1_M5_bnt162-01-S-D-relrec,relrec,s_d,s1_m5,"Related Records",fda_s1_m5_bnt162_01_s_d_relrec,FDA_CBER_2021_5683_0396195_125742_S1_M5_BNT162_01_S_D_relrec,"This is a dataset (RELREC) that represents relations among datasets or records. There are two types of relationships:  those between independent records for a trial subject, such as a concomitant medication taken to treat an adverse event; and those between two or datasets that have records related to each other."
43,FDA-CBER-2021-5683-0396196_125742_S1_M5_bnt162-01-S-D-supppe,supppe,s_d,s1_m5,"Physical Examination Supplemental Qualifiers",fda_s1_m5_bnt162_01_s_d_supppe,FDA_CBER_2021_5683_0396196_125742_S1_M5_BNT162_01_S_D_supppe,"This dataset holds additional (SuppPE) findings about observation during a Physical Examination that cannot be held in the standard dataset. In this case, the extra information is about whether a finding was considered clinically significant."
44,FDA-CBER-2021-5683-0396197_125742_S1_M5_bnt162-01-S-D-supprp,supprp,s_d,s1_m5,"Reproductive System Findings Supplemental Qualifiers",fda_s1_m5_bnt162_01_s_d_supprp,FDA_CBER_2021_5683_0396197_125742_S1_M5_BNT162_01_S_D_supprp,"This is additional information related to Reproductive System Findings (SuppRP) that cannot be stored in that standard dataset. In this case, the extra information covers hysterectomy."
45,FDA-CBER-2021-5683-0396198_125742_S1_M5_bnt162-01-S-D-te,te,s_d,s1_m5,"Trial Elements",fda_s1_m5_bnt162_01_s_d_te,FDA_CBER_2021_5683_0396198_125742_S1_M5_BNT162_01_S_D_te,"This dataset (TE) contains the definitions of the elements that appear in the Trial Arms dataset. An element may appear multiple times in the Trial Arms, either because it is in multiple arms or occurs multiple times within one arm."
46,FDA-CBER-2021-5683-0396199_125742_S1_M5_bnt162-01-S-D-tv,tv,s_d,s1_m5,"Trial Visits",fda_s1_m5_bnt162_01_s_d_tv,FDA_CBER_2021_5683_0396199_125742_S1_M5_BNT162_01_S_D_tv,"This dataset (TV) contains the planned order of visits in the study within each Trial Arm. Visits are defined as clinical encounters."
47,FDA-CBER-2021-5683-0396200-0396213_125742_S1_M5_BNT162-01-A-D-ADAE,adae,a_d,s1_m5,"Adverse Events Analysis Dataset",fda_s1_m5_bnt162_01_a_d_adae,FDA_CBER_2021_5683_0396200_0396213_125742_S1_M5_BNT162_01_A_D_AD,"This is a special dataset tailored to support the analysis of Adverse Events (ADAE). This type of special Analysis dataset can include values drawn from Tabulation data and from other Analysis datasets.  Data values may also be derived."
48,FDA-CBER-2021-5683-0396214-0396222_125742_S1_M5_BNT162-01-S-D-CM,cm,s_d,s1_m5,"Concomitant Prior Medications",fda_s1_m5_bnt162_01_s_d_cm,FDA_CBER_2021_5683_0396214_0396222_125742_S1_M5_BNT162_01_S_D_CM,"This dataset (CM) records information about drugs the subject was taking coincident with being part of the clinical trial. This can include alcohol, tobacco or caffeine as well as contraceptives and over-the-counter pain killers alongside prescribed medications."
49,FDA-CBER-2021-5683-0396223-0396227_125742_S1_M5_BNT162-01-S-D-DV,dv,s_d,s1_m5,"Protocol Deviations",fda_s1_m5_bnt162_01_s_d_dv,FDA_CBER_2021_5683_0396223_0396227_125742_S1_M5_BNT162_01_S_D_DV,"This dataset (DV) records events where the clinical trial protocol is violated or a deviation from the protocol occurs.  Such events can be a telephone call not being made, a visit happening beyond a deadline or a specific blood test not being conducted."
50,FDA-CBER-2021-5683-0396228-0396233_125742_S1_M5_BNT162-01-S-D-RP,rp,s_d,s1_m5,"Reproductive System Findings",fda_s1_m5_bnt162_01_s_d_rp,FDA_CBER_2021_5683_0396228_0396233_125742_S1_M5_BNT162_01_S_D_RP,"This is a dataset (RP) that contains findings (physiological and morphological) related to the male and female reproductive systems including the trial subject's reproductive ability, reproductive history and any medications related to reproduction."
51,FDA-CBER-2021-5683-0396234-0396238_125742_S1_M5_BNT162-01-S-D-SUPPDV,suppdv,s_d,s1_m5,"Protocol Deviations Supplemental Qualifiers",fda_s1_m5_bnt162_01_s_d_suppdv,FDA_CBER_2021_5683_0396234_0396238_125742_S1_M5_BNT162_01_S_D_SU,"This is additional information related to Protocol Deviations (SuppDV) that cannot be stored in that standard dataset. In this case, the extra information provides the reasons for deviations occurring, for example a mistake or logistics."
52,FDA-CBER-2021-5683-0396239-0396241_125742_S1_M5_BNT162-01-S-D-SUPPEG,suppeg,s_d,s1_m5,"ECG Test Results Supplemental Qualifiers",fda_s1_m5_bnt162_01_s_d_suppeg,FDA_CBER_2021_5683_0396239_0396241_125742_S1_M5_BNT162_01_S_D_SU,"This is additional information related to the ECG Test Results (SuppEG) that cannot be stored in that standard dataset. In this case, the extra information is about ECG finding codes and clinical significance."
53,FDA-CBER-2021-5683-0396242-0396246_125742_S1_M5_BNT162-01-S-D-SUPPXA,suppxa,s_d,s1_m5,"Ancillary Analysis and Visit Details Supplemental Qualifiers",fda_s1_m5_bnt162_01_s_d_suppxa,FDA_CBER_2021_5683_0396242_0396246_125742_S1_M5_BNT162_01_S_D_SU,"This is additional information related to the Ancillary Analysis and Visit Details (SuppXA) that cannot be stored in that standard dataset. In this case, the extra information is about blood sampling for research purposes."
54,FDA-CBER-2021-5683-0396247-0396248_125742_S1_M5_BNT162-01-S-D-TA,ta,s_d,s1_m5,"Trial Arms",fda_s1_m5_bnt162_01_s_d_ta,FDA_CBER_2021_5683_0396247_0396248_125742_S1_M5_BNT162_01_S_D_TA,"This dataset (TA) contains information about each planned Arm in a clinical trial, for example screening and pre-dose assessment."
55,FDA-CBER-2021-5683-0396249-0396254_125742_S1_M5_BNT162-01-S-D-XB,xb,s_d,s1_m5,"HLA Typing",fda_s1_m5_bnt162_01_s_d_xb,FDA_CBER_2021_5683_0396249_0396254_125742_S1_M5_BNT162_01_S_D_XB,"This dataset (XB) records baseline and treatment values for a trial subject's Human Leukocyte Antigen (HLA) typing.  HLA are proteins, markers, found on most cells in the body that are used by the immune system to recognise cells that belong to the body and those that do not."
56,FDA-CBER-2021-5683-0396255-0484341_125742_S1_M5_C4591001-S-SUPP-D-SUPPFACE,suppface,s_supp_d,s1_m5,"Findings About Events or Interventions Supplemental Qualifiers",fda_s1_m5_s_supp_d_suppface,FDA_CBER_2021_5683_0396255_0484341_125742_S1_M5_C4591001_S_SUPP_,"This dataset is a supplement issue of the additional information (supp_SuppFACE) related to the Findings about Events or Interventions that cannot be stored in the standard dataset. In this case, the extra information is about the data collection type and languages used in that process."
57,FDA-CBER-2021-5683-0539337-0539815-125742_S1_M5_BNT162-01-A-D-ADVS,advs,a_d,s1_m5,"Vital Signs Analysis Dataset",fda_s1_m5_bnt162_01_a_d_advs,FDA_CBER_2021_5683_0539337_0539815_125742_S1_M5_BNT162_01_A_D_AD,"This is a special dataset (ADVS) tailored to support the analysis of Vital Signs, namely measurements including blood pressure, temperature, respiration, body surface area, body mass index, height and weight. This type of special Analysis dataset can include values drawn from Tabulation data and from other Analysis datasets.  Data values may also be derived."
58,FDA-CBER-2021-5683-0537914-0539336-125742_S1_M5_BNT162-01-A-D-ADFACEVD,adfacevd,a_d,s1_m5,"Reactogenicity Findings Analysis Dataset",fda_s1_m5_bnt162_01_a_d_adfacevd,FDA_CBER_2021_5683_0537914_0539336_125742_S1_M5_BNT162_01_A_D_AD,"This is a special dataset (ADFACEVD) tailored to support the analysis of Adverse Events that the NIH terms Reactogenicity Events. These are adverse events common and known to occur for the intervention being studied. Reactogenicity events and graded as Absent, Mild, Moderate, Severe or Life-threatening. This type of special Analysis dataset can include values drawn from Tabulation data and from other Analysis datasets.  Data values may also be derived."
59,FDA-CBER-2021-5683-0484461-0537913-125742_S1_M5_C4591001-S-D-FACE,face,s_d,s1_m5,"Findings About Clinical Events",fda_s1_m5_s_d_face,FDA_CBER_2021_5683_0484461_0537913_125742_S1_M5_C4591001_S_D_FAC,"This dataset (FACE) is used when data that represent findings about an event or intervention cannot be held within its standard dataset but also cannot be stored as a supplemental qualifier to such a record.  This could be for reasons related to an event's timing or because a finding cannot be represented using a single value."
60,FDA-CBER-2021-5683-0484452-0484460-125742_S1_M5_BNT162-01-S-D-TI,ti,s_d,s1_m5,"Trial Inclusion Exclusion Criteria",fda_s1_m5_bnt162_01_s_d_ti,FDA_CBER_2021_5683_0484452_0484460_125742_S1_M5_BNT162_01_S_D_TI,"This dataset (TI) contains each of the inclusion and exclusion criteria for the clinical trial. An example of a criterion is Received any vaccination within the 28 d prior to Visit 0."
61,FDA-CBER-2021-5683-0484442-0484451-125742_S1_M5_BNT162-01-S-D-EX,ex,s_d,s1_m5,Exposure,fda_s1_m5_bnt162_01_s_d_ex,FDA_CBER_2021_5683_0484442_0484451_125742_S1_M5_BNT162_01_S_D_EX,"This dataset records the details of a trial subject's Exposure (EX) to protocol-specified treatments such as placebos and the drug being investigated. The significant aspect of this dataset is that details of whether a placebo or trial drug were administered are exposed."
62,FDA-CBER-2021-5683-0484419-0484441-125742_S1_M5_BNT162-01-S-D-EG,eg,s_d,s1_m5,"ECG Test Results",fda_s1_m5_bnt162_01_s_d_eg,FDA_CBER_2021_5683_0484419_0484441_125742_S1_M5_BNT162_01_S_D_EG,"This dataset (EG) holds information about any ECG that a trial subject undergoes. It records measurements and findings as well as the person's posture - such as supine - during the ECG."
63,FDA-CBER-2021-5683-0484409-0484418-125742_S1_M5_BNT162-01-S-D-EC,ec,s_d,s1_m5,"Exposure As Collected",fda_s1_m5_bnt162_01_s_d_ec,FDA_CBER_2021_5683_0484409_0484418_125742_S1_M5_BNT162_01_S_D_EC,"This dataset records the details of a trial subject's Exposure as Collected (EC) to protocol-specified treatments but with information hidden about whether a placebo or trial drug was administered."
64,FDA-CBER-2021-5683-0484384-0484408-125742_S1_M5_BNT162-01-S-D-DS,ds,s_d,s1_m5,Disposition,fda_s1_m5_bnt162_01_s_d_ds,FDA_CBER_2021_5683_0484384_0484408_125742_S1_M5_BNT162_01_S_D_DS,"This dataset (DS) records the overall clinical study conclusion for a subject once all contact with the person ends."
65,FDA-CBER-2021-5683-0484379-0484383-125742_S1_M5_BNT162-01-S-D-DM,dm,s_d,s1_m5,Demographics,fda_s1_m5_bnt162_01_s_d_dm,FDA_CBER_2021_5683_0484379_0484383_125742_S1_M5_BNT162_01_S_D_DM,"This is a special-purpose dataset (DM) that describes each subject in a human clinical trial.  It includes unique identification codes together with core information such as the person's sex, race, ethnicity and age. It includes whether the person was scheduled to receive a placebo or the trial drug as well as whether this was actually administered."
